"full_name","url","stars","forks","updated_at","language","license","category","relevance_tier","description"
"abhi1693/openclaw-mission-control","https://github.com/abhi1693/openclaw-mission-control","989","247","2026-02-27T02:39:08Z","TypeScript","MIT","panel-ui","A-high","AI Agent Orchestration Dashboard - Manage AI agents, assign tasks, and coordinate multi-agent collaboration via OpenClaw Gateway."
"BytePioneer-AI/openclaw-china","https://github.com/BytePioneer-AI/openclaw-china","953","119","2026-02-27T02:55:38Z","TypeScript","","other","A-high","OpenClaw中国插件：支持飞书，钉钉，QQ，企业微信，微信"
"DeepMyst/Mysti","https://github.com/DeepMyst/Mysti","950","40","2026-02-27T00:40:16Z","TypeScript","Apache-2.0","panel-ui","B-medium","AI coding dream team of agents for VS Code. Claude Code + openai Codex collaborate in brainstorm mode, debate solutions, and synthesize the best approach for your code."
"junhoyeo/tokscale","https://github.com/junhoyeo/tokscale","922","62","2026-02-27T01:27:39Z","Rust","MIT","other","B-medium","🛰️ A CLI tool for tracking token usage from OpenCode, Claude Code, 🦞OpenClaw (Clawdbot/Moltbot), Pi, Codex, Gemini CLI, Cursor IDE, AmpCode, Factory Droid, and Kimi Code CLI • 🏅Global Leaderboard + 2D/3D Contributions Graph"
"freestylefly/openclaw-wechat","https://github.com/freestylefly/openclaw-wechat","879","258","2026-02-27T03:03:47Z","TypeScript","","other","A-high","让 OpenClaw稳定的连上你的个人微信"
"rohunvora/x-research-skill","https://github.com/rohunvora/x-research-skill","859","95","2026-02-27T02:27:43Z","TypeScript","","plugins-skills","B-medium","X/Twitter research skill for Claude Code and OpenClaw. Agentic search, thread following, deep-dives, sourced briefings."
"luccast/crabwalk","https://github.com/luccast/crabwalk","829","91","2026-02-27T00:18:20Z","TypeScript","MIT","other","B-medium","🦀 Crabwalk 🦀 Real-time companion monitor for OpenClaw agents."
"crshdn/mission-control","https://github.com/crshdn/mission-control","824","204","2026-02-27T01:32:24Z","TypeScript","MIT","panel-ui","B-medium","AI Agent Orchestration Dashboard - Manage AI agents, assign tasks, and coordinate multi-agent collaboration via OpenClaw Gateway."
"xianyu110/clawbot","https://github.com/xianyu110/clawbot","801","113","2026-02-26T14:34:25Z",,"","other","B-medium","Clawdbot完整配置指南：从安装到Claude Code中转"
"digitalknk/openclaw-runbook","https://github.com/digitalknk/openclaw-runbook","792","71","2026-02-26T23:29:38Z",,"MIT","other","A-high",
"openakita/openakita","https://github.com/openakita/openakita","790","81","2026-02-27T02:26:08Z","Python","MIT","plugins-skills","B-medium","An open-source AI assistant framework with skills and agent architecture"
"poco-ai/poco-agent","https://github.com/poco-ai/poco-agent","790","80","2026-02-27T03:00:06Z","TypeScript","MIT","security","B-medium","A more beautiful and easier-to-use alternative to OpenClaw. It features a nicer Web UI, built-in IM support, and a sandboxed runtime for improved safety. Under the hood, it is powered by a Claude Code–based agent."
"trueai-org/midjourney-proxy","https://github.com/trueai-org/midjourney-proxy","755","119","2026-02-25T23:59:16Z","C#","GPL-3.0","other","B-medium","🦄 The world's largest Midjourney drawing API, generating over 1 million drawings daily, supporting Discord Youchuan Midjourney 🐂！"
"mosaxiv/clawlet","https://github.com/mosaxiv/clawlet","697","37","2026-02-26T19:31:37Z","Go","MIT","alternatives-forks","B-medium","Ultra-lightweight and efficient personal AI assistant"
"SamurAIGPT/awesome-openclaw","https://github.com/SamurAIGPT/awesome-openclaw","692","118","2026-02-27T00:34:08Z",,"MIT","plugins-skills","A-high","A curated list of OpenClaw resources, tools, skills, tutorials & articles. OpenClaw (formerly Moltbot / Clawdbot) — open-source self-hosted AI agent for WhatsApp, Telegram, Discord & 50+ integrations."
"soimy/openclaw-channel-dingtalk","https://github.com/soimy/openclaw-channel-dingtalk","678","114","2026-02-27T02:41:37Z","TypeScript","","plugins-skills","A-high","A dingtalk bot channel plugin for clawdbot"
"zacfrulloni/Prompt-Engineering-Holy-Grail","https://github.com/zacfrulloni/Prompt-Engineering-Holy-Grail","653","73","2026-02-24T19:35:37Z","HTML","MIT","other","B-medium","setup openclaw: https://remoteopenclaw.com/"
"grp06/openclaw-studio","https://github.com/grp06/openclaw-studio","652","83","2026-02-27T02:21:16Z","TypeScript","MIT","panel-ui","A-high","A clean web dashboard for OpenClaw. Connect your Gateway, manage agents, and ship faster. ⭐️ Star if you like it!"
"runkids/skillshare","https://github.com/runkids/skillshare","635","38","2026-02-27T02:33:07Z","Go","MIT","plugins-skills","B-medium","📚 Sync skills across all AI CLI tools with one command and simplify team sharing. Supporting Claude Code, OpenClaw, OpenCode & more"
"zilliztech/memsearch","https://github.com/zilliztech/memsearch","623","58","2026-02-27T02:57:37Z","Python","MIT","plugins-skills","B-medium","A Markdown-first memory system, a standalone library for any AI agent. Inspired by OpenClaw."
"openclaw/lobster","https://github.com/openclaw/lobster","619","164","2026-02-27T02:51:02Z","TypeScript","MIT","official","A-official","Lobster is a Openclaw-native workflow shell: a typed, local-first “macro engine” that turns skills/tools into composable pipelines and safe automations—and lets Openclaw call those workflows in one step."
"Alishahryar1/free-claude-code","https://github.com/Alishahryar1/free-claude-code","610","79","2026-02-27T01:17:20Z","Python","MIT","plugins-skills","B-medium","Use claude-code for free in the terminal, VSCode extension or via discord like openclaw"
"getclawe/clawe","https://github.com/getclawe/clawe","601","72","2026-02-27T01:27:58Z","TypeScript","AGPL-3.0","other","B-medium","Multi-agent coordination system: think Trello for OpenClaw agents. "
"Curbob/LobsterBoard","https://github.com/Curbob/LobsterBoard","554","76","2026-02-27T01:26:41Z","JavaScript","NOASSERTION","panel-ui","B-medium","OpenClaw Dashboard Builder - Create custom dashboards"
"evinjohnn/natively-cluely-ai-assistant","https://github.com/evinjohnn/natively-cluely-ai-assistant","546","105","2026-02-27T00:27:14Z","TypeScript","AGPL-3.0","alternatives-forks","B-medium","Natively is an open-source, privacy-first AI meeting assistant and the best alternative to Cluely. It supports both local models and cloud AI providers , delivering real-time assistance during meetings, interviews, and conversations while remaining invisible in screen shares and recordings."
"ibelick/webclaw","https://github.com/ibelick/webclaw","537","66","2026-02-26T20:25:59Z","TypeScript","MIT","other","B-medium","Fast web client for OpenClaw"
"prompt-security/clawsec","https://github.com/prompt-security/clawsec","531","54","2026-02-26T21:04:46Z","JavaScript","AGPL-3.0","security","B-medium","A complete security skill suite for OpenClaw's and NanoClaw agents (and variants). Protect your SOUL.md (etc') with drift detection, live security recommendations, automated audits, and skill integrity verification. All from one installable suite."
"win4r/memory-lancedb-pro","https://github.com/win4r/memory-lancedb-pro","503","143","2026-02-27T03:04:43Z","TypeScript","","plugins-skills","B-medium","Enhanced LanceDB memory plugin for OpenClaw — Hybrid Retrieval (Vector + BM25), Cross-Encoder Rerank, Multi-Scope Isolation, Management CLI"
"supermemoryai/openclaw-supermemory","https://github.com/supermemoryai/openclaw-supermemory","476","51","2026-02-26T17:39:10Z","TypeScript","","other","A-high","OpenClaw Supermemory lets to have long-term memory and recall for your openclaw agent."
"PsiACE/bub","https://github.com/PsiACE/bub","472","36","2026-02-27T02:58:59Z","Python","Apache-2.0","other","B-medium","Bub it. Build it."
"oceanbase/powermem","https://github.com/oceanbase/powermem","463","55","2026-02-26T11:05:39Z","Python","NOASSERTION","plugins-skills","B-medium","PowerMem: Your AI-Powered Long-Term Memory — Accurate, Agile, Affordable. Also friendly support for the OpenClaw (Clawdbot) Memory Plugin."
"phioranex/openclaw-docker","https://github.com/phioranex/openclaw-docker","460","71","2026-02-27T02:34:28Z","Shell","NOASSERTION","deployment","A-high",
"openclaw/nix-openclaw","https://github.com/openclaw/nix-openclaw","455","152","2026-02-27T02:57:51Z","Nix","NOASSERTION","official","A-official","Packages OpenClaw for nix."
"quoroom-ai/room","https://github.com/quoroom-ai/room","436","11","2026-02-27T03:02:14Z","TypeScript","MIT","other","B-medium","Autonomous AI agents will earn money — with or without us. It's already happening behind closed doors. We believe this should be studied in the open, where everyone can watch, learn, and build on the results.  Quoroom is a public experiment: let's see what a swarm of AI agents can actually do when given a goal and a wallet."
"carlosazaustre/tenacitOS","https://github.com/carlosazaustre/tenacitOS","434","55","2026-02-27T02:07:25Z","TypeScript","MIT","panel-ui","B-medium","OpenClaw Mission Control Dashboard"
"microclaw/microclaw","https://github.com/microclaw/microclaw","429","64","2026-02-27T02:50:08Z","Rust","MIT","alternatives-forks","B-medium","🦀An agentic AI assistant that lives in your chats, inspired by nanoclaw and incorporating some of its design ideas. Built with Rust 🦀"
"pjasicek/OpenClaw","https://github.com/pjasicek/OpenClaw","429","61","2026-02-26T12:02:36Z","C++","GPL-3.0","other","A-high","Reimplementation of Captain Claw (1997) platformer"
"voocel/openclaw-mini","https://github.com/voocel/openclaw-mini","428","40","2026-02-27T02:33:13Z","TypeScript","MIT","other","A-high","🦞 OpenClaw 核心架构的极简复现，涵盖 sessionKey 会话域、队列串行、工具化记忆检索、按需上下文加载、可扩展技能与主动心跳唤醒机制"
"openclaw/openclaw-ansible","https://github.com/openclaw/openclaw-ansible","417","200","2026-02-27T01:17:02Z","Shell","MIT","official","A-official","Automated, hardened Clawdbot installation with Tailscale VPN, UFW firewall, and Docker isolation"
"rookiestar28/ComfyUI-OpenClaw","https://github.com/rookiestar28/ComfyUI-OpenClaw","405","38","2026-02-27T01:46:10Z","Python","MIT","other","A-high","Your own personal AIGC Factory. Any picture. Any reel. The Comfy way. ©️"
"vava-nessa/free-coding-models","https://github.com/vava-nessa/free-coding-models","396","31","2026-02-27T02:39:52Z","JavaScript","NOASSERTION","other","B-medium","Find the fastest coding LLM models in seconds"
"unbrowse-ai/unbrowse","https://github.com/unbrowse-ai/unbrowse","393","29","2026-02-27T02:00:43Z","TypeScript","AGPL-3.0","plugins-skills","B-medium","Unbrowse — agent native browser skill for any agent. Auto-discovers APIs from browser traffic, generates skills on the fly to call APIs directly 100x faster, 80% cheaper locally."
"aws-samples/sample-OpenClaw-on-AWS-with-Bedrock","https://github.com/aws-samples/sample-OpenClaw-on-AWS-with-Bedrock","386","55","2026-02-26T23:59:27Z","Python","MIT-0","other","A-high",
"23blocks-OS/ai-maestro","https://github.com/23blocks-OS/ai-maestro","369","54","2026-02-27T02:38:43Z","TypeScript","MIT","panel-ui","B-medium","AI Agent Orchestrator with Skills System - Give AI Agents superpowers: memory search, code graph queries, agent-to-agent messaging. Manage Claude, Codex or any AI Agent from one dashboard. Move Agents between computers and locations"
"sachaa/openbrowserclaw","https://github.com/sachaa/openbrowserclaw","365","42","2026-02-27T03:01:50Z","TypeScript","MIT","other","B-medium","Browser-native personal AI assistant. Zero infrastructure, the browser is the server."
"chu2bard/pinion-os","https://github.com/chu2bard/pinion-os","364","26","2026-02-27T01:48:54Z","TypeScript","MIT","plugins-skills","B-medium","Client SDK, Claude plugin and skill framework for the Pinion protocol. x402 micropayments on Base."
"mengjian-github/openclaw101","https://github.com/mengjian-github/openclaw101","362","48","2026-02-27T03:03:58Z","TypeScript","","docs-cases","A-high","🐾 OpenClaw 101 — 从零开始，7天掌握你的AI私人助理 | 全网资源聚合站"
"pegasi-ai/clawreins","https://github.com/pegasi-ai/clawreins","360","45","2026-02-26T22:08:26Z","Python","Apache-2.0","security","B-medium","Intervention layer with audit logs for OpenClaw agents. Browser-aware. Trajectory-aware. Human-routable."
"nhevers/MoltBrain","https://github.com/nhevers/MoltBrain","356","39","2026-02-26T10:17:29Z","TypeScript","NOASSERTION","plugins-skills","B-medium","Long-term memory layer for OpenClaw & MoltBook agents that learns and recalls your project context automatically."
"win4r/team-tasks","https://github.com/win4r/team-tasks","306","59","2026-02-27T00:08:08Z","Python","","plugins-skills","B-medium","Multi-agent pipeline coordination: Linear, DAG, and Debate modes for AI agent orchestration"
"xianyu110/awesome-openclaw-tutorial","https://github.com/xianyu110/awesome-openclaw-tutorial","297","55","2026-02-27T03:07:47Z","Shell","MIT","plugins-skills","A-high","从零开始玩转OpenClaw：最全面的中文教程，涵盖安装、配置、实战案例和避坑指南（github版）"
"AlexAnys/openclaw-feishu","https://github.com/AlexAnys/openclaw-feishu","277","27","2026-02-27T02:07:46Z","TypeScript","MIT","plugins-skills","A-high","飞书插件 × OpenClaw 保姆级配置指南 & 社区支持 （0224 - 增加 Lark Webhook 内网穿透方案）"
"milady-ai/milady","https://github.com/milady-ai/milady","262","44","2026-02-27T03:05:53Z","TypeScript","NOASSERTION","plugins-skills","B-medium","terminally online"
"openperf/openclaw-cloud","https://github.com/openperf/openclaw-cloud","256","30","2026-02-26T00:01:55Z","TypeScript","MIT","plugins-skills","A-high","Give your AI Agent a cloud-native life. Deploy once, converse everywhere."
"zhixianio/clawpal","https://github.com/zhixianio/clawpal","255","26","2026-02-27T02:45:59Z","Rust","","panel-ui","B-medium","ClawPal - Manage OpenClaw agents, models, and configs with a visual interface. Stop editing JSON by hand."
"smallnest/goclaw","https://github.com/smallnest/goclaw","247","41","2026-02-26T20:32:21Z","Go","MIT","plugins-skills","B-medium","An open-source AI assistant framework like openclaw"
"openguardrails/openguardrails","https://github.com/openguardrails/openguardrails","246","38","2026-02-26T17:46:13Z","TypeScript","NOASSERTION","security","B-medium","Guard Agent for AI Agents, a.k.a OpenClaw."
"ruilisi/lingti-bot","https://github.com/ruilisi/lingti-bot","244","38","2026-02-27T02:56:23Z","Go","","plugins-skills","B-medium","🐕⚡ 「极简至上 效率为王 一次编译 到处执行 极速接入」的 AI Bot"
"sunnoy/openclaw-plugin-wecom","https://github.com/sunnoy/openclaw-plugin-wecom","239","28","2026-02-27T03:07:33Z","JavaScript","ISC","plugins-skills","A-high","企业微信 AI 机器人插件 - Enterprise WeChat (WeCom) AI Bot plugin for OpenClaw. 支持流式输出、动态 Agent 管理、群聊集成、指令白名单等功能。"
"doramirdor/NadirClaw","https://github.com/doramirdor/NadirClaw","238","29","2026-02-27T02:30:28Z","Python","MIT","deployment","B-medium","Smart LLM router that cuts AI costs by 40-70%. Routes simple prompts to cheap/local models, complex ones to premium. Works with Claude Code, OpenClaw, Cursor. OpenAI-compatible proxy, runs locally."
"skillmatic-ai/awesome-agent-skills","https://github.com/skillmatic-ai/awesome-agent-skills","235","27","2026-02-27T03:03:56Z",,"CC0-1.0","plugins-skills","B-medium","The definitive resource for Agent Skills - modular capabilities revolutionizing AI agent architecture"
"jgarzik/botmaker","https://github.com/jgarzik/botmaker","232","25","2026-02-26T00:02:31Z","TypeScript","MIT","plugins-skills","B-medium","UI/app to Create containerized OpenClaw bots"
"Arvincreator/project-golem","https://github.com/Arvincreator/project-golem","231","40","2026-02-27T02:25:27Z","JavaScript","MIT","other","B-medium","Browser agent powered by Gemini & node.js"
"miantiao-me/cloud-claw","https://github.com/miantiao-me/cloud-claw","227","30","2026-02-26T23:23:37Z","TypeScript","MIT","deployment","B-medium","Run OpenClaw with One Click on Cloudflare Containers to Create Your Personal Agent"
"zhixianio/botdrop-android","https://github.com/zhixianio/botdrop-android","225","27","2026-02-27T03:01:22Z","Java","GPL-3.0","panel-ui","B-medium","Run AI agents on your Android phone — no terminal, no CLI, just a guided setup."
